Username,Date,Time,Tweet ID,Tweet
Sangue de Nazaré Tedesco,2023-05-24,21:44:30,1661488369719816196,"Eu e minha arte.

Biblioteconomia ❤️
Diagramação ❤️
Comunicação  Visual ❤️
Projeto Gráfico ❤️ https://t.co/x63w2Oqjot https://t.co/czXpl29vR8 https://t.co/wWk9n4o56D"
bite me,2023-05-24,19:08:19,1661449063299010573,em 2 anos sera q ele fazia biblioteconomia https://t.co/KZv3iF0PP0
Honorio Penadés,2023-05-24,18:52:58,1661445198373851137,"En la exposición «Motor de Igualdad. La Residencia de Señoritas (1915-1936)» de la @fortegamaranon encuentro un pequeño documento que usaré para mi próximo artículo en la @mibibliotecarev, que trata de una escritora muy muy célebre, que resulta que estudió Biblioteconomía allí. https://t.co/Lmk3Dg3XW2"
Kathlen🌻,2023-05-24,18:44:08,1661442975321260058,"RT @PochwatkaA: *na faculdade de Biblioteconomia*
- tenho apenas uma disciplina esse semestre
- qual?
- Shhhhhhhii"
Francisco Foz,2023-05-24,18:10:04,1661434403900334080,"""Não é exagero afirmar que Henriette Avram salvou do esquecimento a herança literária impressa, pois o MARC garantiu a relevância e a presença contínuas da literatura na era da mídia digital.""  
#Marc21 #Biblioteconomia #Ciencia 
🧶"
FLARVALHO 💪😌❤️🖤👍🌹,2023-05-24,17:59:19,1661431700155424772,"RT @belemtransito: As oportunidades são para os cursos de Administração, Biblioteconomia, Ciências Contábeis, Engenharia Civil e Ciências d…"
BT Mais,2023-05-24,17:55:51,1661430825060106244,"As oportunidades são para os cursos de Administração, Biblioteconomia, Ciências Contábeis, Engenharia Civil e Ciências da Computação, Sistemas de Informação, Gestão da Tecnologia da Informação, Análise e Desenvolvimento de Sistemas e Redes de Computadores."
Biblio Beto,2023-05-24,17:49:24,1661429205035360256,"RT @vanessa_bs: SILVA, Vanessa Batista da. O catalogador e as competências necessárias para a catalogação de livros raros e especiais. 2022…"
may,2023-05-24,16:03:21,1661402514829262849,"@lucstdy Até pq sempre me vi na área de humanas, como artes visuais, música (que já deixei apenas como hobby) e agora biblioteconomia, pq achei um máximo. Mas nada decidido, sempre ando procurando um curso na qual eu possa me interessar até achar o ""brilhinho"""
ǝɟ,2023-05-24,15:52:52,1661399878096891904,A melhor coisa de fazer biblioteconomia é os estágios
jorgin_que_da_a12🧹🧹🧹,2023-05-24,14:56:18,1661385639206453250,@teskuo Faz uma pergunta de biblioteconomia pra bugar eles também
SiBI UFRJ,2023-05-24,14:35:04,1661380298943217666,"No site do #SiBIUFRJ tem uma relação de e-books gratuitos que abarcam temas relacionados às áreas da #BIBLIOTECONOMIA e #CIÊNCIADAINFORMAÇÃO.

Selecionamos 8 #ebooks dessa lista sobre Gestão do conhecimento:

https://t.co/lIjPDPoiHQ

+

  #gestaodoconhecimento https://t.co/XlXEIhAsUh"
CTA Cádiz,2023-05-24,14:20:29,1661376626830000135,"Se modifica la relación de puestos de trabajo de la Administración General de la Junta de Andalucía en aplicación de las Ofertas de Empleo Público aprobadas, para el ingreso en el Cuerpo Superior Facultativo, mediante la opción de Biblioteconomía  https://t.co/HFPzB0me7t"
...,2023-05-24,14:18:04,1661376020568498176,biblioteconomia kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
marina eu te amo muito muito!,2023-05-24,14:10:02,1661373995600470025,esse pessoal da letras faz umas perguntas muito difíceis na aula eu sou burrinho do português sou de biblioteconomia
Vanessa Batista (Van),2023-05-24,13:33:33,1661364816886341633,"SILVA, Vanessa Batista da. O catalogador e as competências necessárias para a catalogação de livros raros e especiais. 2022. 122 f. Dissertação (Mestrado Profissional em Biblioteconomia)- Universidade Federal do Estado do Rio de Janeiro, Rio de Janeiro, 2022. Disponível em:"
Letícia,2023-05-24,12:32:21,1661349412801593345,"RT @imoreirasalles: ▶️ Estágio na área de Coordenadoria de Literatura (Rio de Janeiro)
ℹ️ Cursando nível superior em Biblioteconomia ou Ciê…"
¿?,2023-05-24,12:20:38,1661346464604344321,"¿Alguien conoce de la existencia de grupos de Telegram o Discord que versen sobre #archivística, #paleografía o #biblioteconomía?"
Srta. Perfeitinha Sabe Tudo,2023-05-24,12:01:59,1661341773967376385,"(Na faculdade de Biblioteconomia)
-Só peguei 2 matérias amiga
-quais ?
- Como fazer shiiii I e coque de cebola III https://t.co/hcVm4WJ8eL"
KEILAcomK,2023-05-24,11:29:58,1661333715807608834,Reflexão do dia: eu deveria ter me formado em Letras ou Biblioteconomia. https://t.co/y8o1de0HbN
Delushi Kong7,2023-05-24,10:37:57,1661320625330311170,"- Archivística y Biblioteconomía
- Escritura Creativa
- Pragmática
BONUS: Literatura Española Actual https://t.co/TxPKCzVkZf"
Az⚢,2023-05-24,09:48:15,1661308117815009280,"CDD- Classificação Decimal de Dewey
CDU- Classificação Decimal Numeral
Usado apenas na Biblioteconomia"
JuventudMula,2023-05-24,07:58:24,1661280472125566977,RT @mundojovenRM: ¿Quieres hacer prácticas en el @Congreso_Es? Pues todavía estás a tiempo de solicitar una de las 1️⃣2️⃣ #becas formación…
hallybylina,2023-05-24,04:37:48,1661229991185600514,en que momento decidí que estudiar biblioteconomía era buena opción 😻
buceta a milanesa,2023-05-24,04:12:27,1661223611863031808,@alexandrekaua10 conta em biblioteconomia nao foi isso q me prometeram
bru,2023-05-24,03:08:41,1661207562765647872,"* na faculdade de Biblioteconomia* 
- gente só consegui pegar 3 matérias nesse período 
- quais ?? 
- livraria saraiva, livraria Cultura e livraria jaqueira https://t.co/YOkRElDv2i"
Marcus Gomes - VAI BOTAR O BLOCO NA RUA,2023-05-24,02:44:37,1661201506102661120,@brvillarr De biblioteconomia é como??
Raquel 📖: Depois do Sim,2023-05-24,02:26:58,1661197063441334279,"RT @fcknvoidx: *na faculdade de biblioteconomia*
- gente, consegu-
- SHIIIU"
gabi,2023-05-24,01:31:09,1661183019103682577,"*na faculdade de biblioteconomia*
- gente, consegu-
- SHIIIU https://t.co/gYAAzElh9J"
BIBLIOTECA DO IPPUR/UFRJ,2023-05-24,00:29:44,1661167562015617025,RT @SIBI_UFRJ: O Censo da #Biblioteconomia Brasileira tem como propósito servir como uma fonte de informação referencial que mapeie o perfi…
Sah,2023-05-24,00:29:09,1661167414325723136,"*na faculdade de biblioteconomia*

- Gente só consegui pegar 2 matérias esse período
- Quais??
- Técnicas de Shiu e Como fazer um coque https://t.co/aqcOMAfUqZ"
Ronaldo,2023-05-24,00:26:29,1661166745329991681,"RT @imoreirasalles: ▶️ Estágio na área de Coordenadoria de Literatura (Rio de Janeiro)
ℹ️ Cursando nível superior em Biblioteconomia ou Ciê…"
arthur TRI,2023-05-24,00:16:57,1661164345462489089,@rafahachuy eu fui pra visitar a biblioteca (faço biblioteconomia) aí pra um trabalho eu fui lá ver
